5 Minutes	Lane 1 Truck Prop (%)	Lane 2 Truck Prop (%)	Lane 3 Truck Prop (%)	Truck Prop (%)	# Lane Points	% Observed
09/03/2015 13:40	0	0	0	0	3	100
09/03/2015 13:45	0	0	0	0	3	100
09/03/2015 13:50	0	0	0	0	3	100
09/03/2015 13:55	0	2.5	8.3	3.4	3	100
09/03/2015 14:00	0	7.1	19.6	8.2	3	100
09/03/2015 14:05	0	0	11.7	3.4	3	100
09/03/2015 14:10	0	7	1.8	2.8	3	100
09/03/2015 14:15	0	6.4	10.1	5	3	100
09/03/2015 14:20	0	0	0	0	3	100
09/03/2015 14:25	0	0	4.7	1.3	3	100
09/03/2015 14:30	0	0	0	0	3	100
09/03/2015 14:35	0	4.8	1.8	2.2	3	100
09/03/2015 14:40	0	9	7.8	5.3	3	100
09/03/2015 14:45	0	0	6.1	1.7	3	100
09/03/2015 14:50	0	5.6	0	1.9	3	100
09/03/2015 14:55	0	7.2	17	7.2	3	100
09/03/2015 15:00	0	2.1	0	.8	3	100
09/03/2015 15:05	0	9.5	16.8	7.8	3	100
09/03/2015 15:10	0	.8	.9	.5	3	100
09/03/2015 15:15	0	6.6	0	2.2	3	100
09/03/2015 15:20	0	3.8	0	1.3	3	100
09/03/2015 15:25	0	11.9	24.2	10.5	3	100
09/03/2015 15:30	0	5.6	7	3.9	3	100
09/03/2015 15:35	0	1.6	8.8	3.1	3	100
09/03/2015 15:40	0	4.4	3.7	2.6	3	100
09/03/2015 15:45	0	1.6	7.6	2.9	3	100
09/03/2015 15:50	0	7.6	9.1	5.2	3	100
09/03/2015 15:55	0	3	6	2.8	3	100
09/03/2015 16:00	0	5.6	6.2	3.8	3	100
09/03/2015 16:05	0	0	0	0	3	100
09/03/2015 16:10	0	12.9	0	4.2	3	100
09/03/2015 16:15	0	7.1	2.7	3.2	3	100
09/03/2015 16:20	0	8.5	0	2.8	3	100
09/03/2015 16:25	0	6.1	7.4	4.2	3	100
09/03/2015 16:30	0	1.7	0	.5	3	100
09/03/2015 16:35	0	8.9	3.5	4.1	3	100
09/03/2015 16:40	0	0	0	0	3	100
09/03/2015 16:45	0	3.4	.9	1.4	3	100
09/03/2015 16:50	0	7.1	4.5	3.8	3	100
09/03/2015 16:55	0	3.4	2.9	2	3	100
09/03/2015 17:00	0	9.2	0	3	3	100
09/03/2015 17:05	0	6.1	5.6	3.7	3	100
09/03/2015 17:10	0	0	0	0	3	100
09/03/2015 17:15	0	.8	0	.3	3	100
09/03/2015 17:20	0	4.1	6.5	3.4	3	100
09/03/2015 17:25	0	0	4	1.1	3	100
09/03/2015 17:30	0	8.4	7.6	5.1	3	100
09/03/2015 17:35	0	7.6	1	2.9	3	100
09/03/2015 17:40	0	6	0	1.9	3	100
09/03/2015 17:45	0	0	8	2.3	3	100
09/03/2015 17:50	0	15.3	20	10.7	3	100
09/03/2015 17:55	0	.8	9.6	3.1	3	100
09/03/2015 18:00	0	0	0	0	3	100
09/03/2015 18:05	0	0	16.8	4.5	3	100
09/03/2015 18:10	0	8.5	8	5.3	3	100
09/03/2015 18:15	0	0	11.1	3.2	3	100
09/03/2015 18:20	0	6.6	5.8	3.8	3	100
09/03/2015 18:25	0	2.4	1.6	1.3	3	100
09/03/2015 18:30	0	0	0	0	3	100
09/03/2015 18:35	0	0	0	0	3	100
09/03/2015 18:40	0	0	0	0	3	100
09/03/2015 18:45	0	0	0	0	3	100
09/03/2015 18:50	0	.8	3.2	1.1	3	100
09/03/2015 18:55	0	2.5	9.5	4	3	100
09/03/2015 19:00	0	2.3	8.3	3.3	3	100
09/03/2015 19:05	0	4.3	7.3	3.7	3	100
09/03/2015 19:10	0	3.1	9.4	3.8	3	100
09/03/2015 19:15	0	3	10.1	4.3	3	100
09/03/2015 19:20	0	.8	3.9	1.4	3	100
09/03/2015 19:25	0	3.3	12.1	5	3	100
09/03/2015 19:30	0	2.6	10.8	4	3	100
09/03/2015 19:35	0	3.2	7.6	3.3	3	100
09/03/2015 19:40	0	1	10.2	3.7	3	100
09/03/2015 19:45	0	.8	9.1	3	3	100
09/03/2015 19:50	0	1.9	6.1	2.7	3	100
09/03/2015 19:55	0	3	9.7	3.9	3	100
09/03/2015 20:00	0	1.7	14.1	4.8	3	100
09/03/2015 20:05	0	2.3	7.8	3.1	3	100
09/03/2015 20:10	0	0	3	.9	3	100
09/03/2015 20:15	0	.9	7.3	2.3	3	100
09/03/2015 20:20	0	1.8	13.4	4.9	3	100
09/03/2015 20:25	0	3.4	10.8	5	3	100
09/03/2015 20:30	0	2.5	14.9	5.5	3	100
09/03/2015 20:35	0	2.1	6.7	2.9	3	100
09/03/2015 20:40	0	0	6.7	1.9	3	100
09/03/2015 20:45	0	2.7	8	3.5	3	100
09/03/2015 20:50	0	0	0	0	3	100
09/03/2015 20:55	0	0	6	1.9	3	100
09/03/2015 21:00	0	.9	9.7	2.9	3	100
09/03/2015 21:05	0	4.1	6.9	3.4	3	100
09/03/2015 21:10	0	1	4.3	1.8	3	100
09/03/2015 21:15	0	1	5.1	1.9	3	100
09/03/2015 21:20	0	1.9	9.4	3.6	3	100
09/03/2015 21:25	0	2.3	7.4	3.4	3	100
09/03/2015 21:30	0	1.1	10.7	3.8	3	100
09/03/2015 21:35	0	1.1	9.1	3.7	3	100
09/03/2015 21:40	0	2.3	13.2	5.5	3	100
09/03/2015 21:45	0	4.4	11	5.4	3	100
09/03/2015 21:50	0	1.4	4.1	2.1	3	100
09/03/2015 21:55	0	3.9	17.2	6.8	3	100
09/03/2015 22:00	0	0	17.6	5.6	3	100
09/03/2015 22:05	0	0	4.9	1.5	3	100
09/03/2015 22:10	0	3.5	15	6.4	3	100
09/03/2015 22:15	0	2.7	7.5	3.7	3	100
09/03/2015 22:20	0	2.9	15.1	6.1	3	100
09/03/2015 22:25	0	1.8	10.2	4.3	3	100
09/03/2015 22:30	0	1.5	8.9	3.7	3	100
09/03/2015 22:35	0	1.4	20.5	6.2	3	100
09/03/2015 22:40	0	0	14.5	5.2	3	100
09/03/2015 22:45	0	1.8	2.1	1.5	3	100
09/03/2015 22:50	0	4.7	9.4	5.6	3	100
09/03/2015 22:55	0	0	6	2.1	3	100
09/03/2015 23:00	0	4.7	14.6	7.1	3	100
09/03/2015 23:05	0	0	13.6	5	3	100
09/03/2015 23:10	0	3.8	15	6.3	3	100
09/03/2015 23:15	0	2	13.9	5.7	3	100
09/03/2015 23:20	0	5.4	10.3	5.4	3	100
09/03/2015 23:25	0	2.1	6.3	2.8	3	100
09/03/2015 23:30	0	2	15.4	6.4	3	100
09/03/2015 23:35	0	2.8	13	7.1	3	100
09/03/2015 23:40	0	2.9	5	3.4	3	100
09/03/2015 23:45	0	3.7	27.3	13.7	3	100
09/03/2015 23:50	0	2.9	19	10.2	3	100
09/03/2015 23:55	0	9.1	15.8	10.7	3	100
