5 Minutes	Lane 1 Truck Prop (%)	Lane 2 Truck Prop (%)	Lane 3 Truck Prop (%)	Lane 4 Truck Prop (%)	Lane 5 Truck Prop (%)	Truck Prop (%)	# Lane Points	% Observed
09/03/2015 13:00	0	0	31.4	7.7	0	8	5	80
09/03/2015 13:05	0	0	29.7	0	0	6.9	5	80
09/03/2015 13:10	0	0	32.6	16.7	0	9.1	5	80
09/03/2015 13:15	0	0	16.5	0	0	3.8	5	80
09/03/2015 13:20	0	0	28.3	0	0	6.3	5	80
09/03/2015 13:25	0	0	31.5	0	0	6.6	5	80
09/03/2015 13:30	0	0	13.9	0	0	3.7	5	80
09/03/2015 13:35	0	0	36.5	0	0	7.7	5	80
09/03/2015 13:40	0	0	13.3	0	0	3.5	5	80
09/03/2015 13:45	0	0	28.9	0	0	6.9	5	80
09/03/2015 13:50	0	0	42.9	1.8	0	9.5	5	80
09/03/2015 13:55	0	0	28.9	0	0	6.5	5	80
09/03/2015 14:00	0	0	10.6	0	0	2.6	5	80
09/03/2015 14:05	0	0	30.2	4.7	0	7.3	5	80
09/03/2015 14:10	0	0	7.5	0	0	2	5	80
09/03/2015 14:15	0	0	25.5	0	0	6	5	80
09/03/2015 14:20	0	0	9.8	0	0	2.3	5	80
09/03/2015 14:25	0	0	18.4	0	0	4.5	5	80
09/03/2015 14:30	0	0	2.6	13.3	0	2.1	5	80
09/03/2015 14:35	0	0	13	0	0	3.4	5	80
09/03/2015 14:40	0	0	11.3	0	0	2.6	5	80
09/03/2015 14:45	0	0	20.8	0	0	5.3	5	80
09/03/2015 14:50	0	0	.9	0	0	.2	5	80
09/03/2015 14:55	0	0	12.5	0	0	2.9	5	80
09/03/2015 15:00	0	0	8	9.1	0	3.1	5	80
09/03/2015 15:05	0	0	42.3	2	0	10.7	5	80
09/03/2015 15:10	0	0	22.9	0	0	5.7	5	80
09/03/2015 15:15	0	0	2.8	2	0	1	5	80
09/03/2015 15:20	0	0	11.2	0	0	2.9	5	80
09/03/2015 15:25	0	0	32.3	4.4	0	8.8	5	80
09/03/2015 15:30	0	0	20	0	0	5	5	80
09/03/2015 15:35	0	0	19.2	0	0	4.4	5	80
09/03/2015 15:40	0	0	19.6	0	0	4.9	5	80
09/03/2015 15:45	0	0	17	0	0	4	5	80
09/03/2015 15:50	0	0	14.3	0	0	3.5	5	80
09/03/2015 15:55	0	0	13	0	0	3.3	5	80
09/03/2015 16:00	0	0	19.4	0	0	4.7	5	80
09/03/2015 16:05	0	0	17.9	0	0	4.7	5	80
09/03/2015 16:10	0	0	8	0	0	2	5	80
09/03/2015 16:15	0	0	12.4	0	0	3.1	5	80
09/03/2015 16:20	0	0	15.5	0	0	3.3	5	80
09/03/2015 16:25	0	0	10	0	0	2.6	5	80
09/03/2015 16:30	0	0	13.9	0	0	3.4	5	80
09/03/2015 16:35	0	0	11.8	0	0	2.9	5	80
09/03/2015 16:40	0	0	5.2	0	0	1.3	5	80
09/03/2015 16:45	0	0	14.4	0	0	3.4	5	80
09/03/2015 16:50	0	0	12.3	0	0	3.1	5	80
09/03/2015 16:55	0	0	16.8	0	0	4.1	5	80
09/03/2015 17:00	0	0	15.4	12.7	0	5.4	5	80
09/03/2015 17:05	0	0	21.6	3.3	0	5.5	5	80
09/03/2015 17:10	0	0	17.1	0	0	4.4	5	80
09/03/2015 17:15	0	0	1.8	0	0	.4	5	80
09/03/2015 17:20	0	0	13.1	0	0	3.3	5	80
09/03/2015 17:25	0	0	9.5	0	0	2	5	80
09/03/2015 17:30	0	0	6.9	0	0	1.8	5	80
09/03/2015 17:35	0	0	5	0	0	1.1	5	80
09/03/2015 17:40	0	0	17.8	0	0	4.6	5	80
09/03/2015 17:45	0	0	17.8	14.3	0	6.1	5	80
09/03/2015 17:50	0	0	20	0	0	5.1	5	80
09/03/2015 17:55	0	0	16	0	0	3.8	5	80
09/03/2015 18:00	0	0	11	0	0	2.6	5	80
09/03/2015 18:05	0	0	25.8	0	0	5.4	5	80
09/03/2015 18:10	0	0	11.5	0	0	2.9	5	80
09/03/2015 18:15	0	0	14.4	0	0	3.2	5	80
09/03/2015 18:20	0	0	12.5	0	0	3.1	5	80
09/03/2015 18:25	0	0	0	5.3	0	.5	5	80
09/03/2015 18:30	0	0	6.6	0	0	1.7	5	80
09/03/2015 18:35	0	0	13.6	10.5	0	4.4	5	80
09/03/2015 18:40	0	0	15.5	29.2	0	6.3	5	80
09/03/2015 18:45	0	0	1.8	6.3	0	1.2	5	80
09/03/2015 18:50	0	0	10.2	48.5	0	6.6	5	80
09/03/2015 18:55	0	0	24.7	50	0	11.1	5	80
09/03/2015 19:00	0	0	21.1	48.1	0	9.2	5	80
09/03/2015 19:05	0	0	16.2	48.6	0	8.7	5	80
09/03/2015 19:10	0	0	14.3	50	0	8.3	5	80
09/03/2015 19:15	0	0	22.5	48	0	8.9	5	80
09/03/2015 19:20	0	0	18.9	50	0	9.1	5	80
09/03/2015 19:25	0	0	23.2	48.3	0	10	5	80
09/03/2015 19:30	0	0	23.3	50	0	11.4	5	80
09/03/2015 19:35	0	0	19.4	50	0	10.4	5	80
09/03/2015 19:40	0	0	24.7	50	0	11.5	5	80
09/03/2015 19:45	0	0	26.3	48.8	0	12.2	5	80
09/03/2015 19:50	0	0	16	50	0	11.8	5	80
09/03/2015 19:55	0	0	20.5	47.6	0	8.6	5	80
09/03/2015 20:00	0	0	29.8	50	0	10.3	5	80
09/03/2015 20:05	0	0	17.4	50	0	8.3	5	80
09/03/2015 20:10	0	0	18.9	48.8	0	9.8	5	80
09/03/2015 20:15	0	0	24.7	50	0	9.8	5	80
09/03/2015 20:20	0	0	25	50	0	9.5	5	80
09/03/2015 20:25	0	0	18.5	50	0	12.2	5	80
09/03/2015 20:30	0	0	30.7	41.7	0	14.4	5	80
09/03/2015 20:35	0	0	18.9	32.8	0	10.3	5	80
09/03/2015 20:40	0	0	23.8	30.6	0	9.4	5	80
09/03/2015 20:45	0	0	19.3	26.5	0	8.6	5	80
09/03/2015 20:50	0	0	17.2	48	0	8.1	5	80
09/03/2015 20:55	0	0	22.9	44.9	0	12.5	5	80
09/03/2015 21:00	0	0	23.5	43.9	0	10.8	5	80
09/03/2015 21:05	0	0	12	29.7	0	6.4	5	80
09/03/2015 21:10	0	0	20.2	48.6	0	10.7	5	80
09/03/2015 21:15	0	0	16	48.3	0	8.5	5	80
09/03/2015 21:20	0	0	25	50	0	12	5	80
09/03/2015 21:25	0	0	20.8	48.9	0	12.3	5	80
09/03/2015 21:30	0	0	24.3	48.7	0	12.4	5	80
09/03/2015 21:35	0	0	24.3	48.6	0	12.1	5	80
09/03/2015 21:40	0	0	26.8	50	0	12.4	5	80
09/03/2015 21:45	0	0	23.5	49.2	0	15	5	80
09/03/2015 21:50	0	0	16.4	50	0	11.4	5	80
09/03/2015 21:55	0	0	22.6	50	0	10.3	5	80
09/03/2015 22:00	0	0	37.9	48	0	15	5	80
09/03/2015 22:05	0	0	28.8	49.2	0	15.8	5	80
09/03/2015 22:10	0	0	27.8	49.4	0	17.4	5	80
09/03/2015 22:15	0	0	12.7	49.1	0	13	5	80
09/03/2015 22:20	0	0	38.2	50	0	19.7	5	80
09/03/2015 22:25	0	0	18.5	48.4	0	12.4	5	80
09/03/2015 22:30	0	0	20	50	0	11.6	5	80
09/03/2015 22:35	0	0	40	50	0	18.4	5	80
09/03/2015 22:40	0	0	27.8	49.2	0	17.9	5	80
09/03/2015 22:45	0	0	12.2	38.2	0	12.5	5	80
09/03/2015 22:50	0	0	17	50	0	15.5	5	80
